 ,Area,Mean,Min,Max,X,Y,Angle,Length
225,0,199.000,199.000,199.000,2141.500,173.833,0,0
226,0,211.000,211.000,211.000,2143.167,183.833,0,0
227,0,103.000,103.000,103.000,2143.833,193.833,0,0
228,0,112.000,112.000,112.000,2145.167,203.833,0,0
229,0,114.000,114.000,114.000,2147.167,214.500,0,0
230,0,144.000,144.000,144.000,2148.833,224.500,0,0
231,0,208.000,208.000,208.000,2150.833,234.167,0,0
232,0,115.000,115.000,115.000,2152.167,243.500,0,0
233,0,196.000,196.000,196.000,2154.833,254.833,0,0
234,0,187.000,187.000,187.000,2157.167,265.167,0,0
235,0,212.000,212.000,212.000,2159.500,274.500,0,0
236,0,139.000,139.000,139.000,2162.167,283.833,0,0
237,0,208.000,208.000,208.000,2164.833,291.167,0,0
238,0,210.000,210.000,210.000,2167.833,298.167,0,0
239,0,117.000,117.000,117.000,2171.833,305.500,0,0
240,0,127.000,127.000,127.000,2177.833,311.500,0,0
241,0,117.000,117.000,117.000,2183.167,313.833,0,0
